"id"	"novel_name"	"novel_author"	"novel_click"	"novel_count"	"novel_type"	"novel_recommend"	"novel_detail"	"time"	"url"
"111"	"诡案缉凶"	"鬼家公子"	"192.0万点击"	"77.8万字"	"[探案, 刑侦, 无敌流, 爽文, 黑客]"	"253推荐"	"  《悬案诡档》姊妹作《诡案缉凶》：警界神探，何笙先生重出江湖：“世间本无罪，妙手解冤屈”：世界上最毒的是毒药还是罪恶的人心，人心的弱点，世俗的鞭击，利益的恩怨，但一切都会以性命作为赌注。没有经历伤害，你永远不知道事情的是与非，没有经历黑暗，你永远不知道隐藏在真相背后的秘密！缝合的五官，不同的祭品，被捆绑在旋转木马上的女人，被囚禁的猎物，被剃掉的长发，无论你去到那里，疯狂的思维都会第一时间捕捉到你的踪迹，然而，这些也只是噩梦的开始……  抽丝剥茧，一个心理咨询师配合一线刑警带你直击最诡异怪诞的犯罪现场，揭露丑恶的人心，还原案情真相，让正义之光照耀阴暗的角落，让罪恶得到相应的惩罚！ "	"更新时间：2022-06-18 12:04:00"	"http://www.shuhai.com/book/109959.htm"
"112"	"重生三国当太守"	"蒲城十七少"	"169.8万点击"	"74.8万字"	"[历史, 武, 三国]"	"37推荐"	"  一个成绩优异的学生，因为事故重生在三国时期。  出生汉代皇室宗亲之家，出生便为兴复汉室而努力。  他为了保护自己当时父母，建军队，做功绩，为大汉出尽全力。  可是，当他平了鲜卑，回程之时却得知自己已经家破人亡，他该何去何从？  希望亲们，在看书的同时能给予评价和评分，谢了！ "	"更新时间：2020-12-02 14:14:04"	"http://www.shuhai.com/book/361.htm"
"113"	"混沌雷神"	"过桥米线"	"399.7万点击"	"164.5万字"	"[玄幻, 废材流, 练功流, 升级, 修仙]"	"1290推荐"	"  弱肉强食的元素大陆，强者为尊，各种强大的元素炫丽地绽放。  而从异界穿越过来的景辰，却是诡异地没有得到家族的传承，甚至还被流放在外！  没有攻击力强横的金元素又如何？   老子有寒封一切的冰，有毁灭万物的雷，越级打怪，夺宝把妹，看老子怎么玩转这片大陆！ "	"更新时间：2013-03-27 12:33:34"	"http://www.shuhai.com/book/1554.htm"
"114"	"我打造了修仙界"	"阿夜夜"	"30.3万点击"	"102.5万字"	"[玄幻, 系统, 群聊, 爽文, 合成流]"	"988推荐"	"  一款修仙建设游戏，竟然带着玩家穿越？  抽中最低级位面的我，带着修仙位面建设系统，不仅要努力修炼，争当表率模范，还要秘密肩负起建设位面的责任。  唉，别人穿越，再不济也能当个普通人，而我却是乞丐出身，你让我慢慢当休闲养成游戏玩？  别开玩笑了，这些都要当成考核依据的。  季度考核，年度考核，一个不慎，就要灰飞烟灭。  唯有完成终极目标才能获得活着穿越回去的资格以及一亿人民币。  你问我挑战时间？无限期！  现在……游戏开始！ "	"更新时间：2021-01-25 11:41:23"	"http://www.shuhai.com/book/57028.htm"
"115"	"青山炼仙诀"	"向左看寂寥"	"95.7万点击"	"150.0万字"	"[修真, 丹药, 练功流, 升级]"	"106推荐"	"  黑山宗药人少年，从小被当做炉鼎药人培养，如同凶兽一般惨烈厮杀，死中求活，却意外得到至强秘宝，吞食天地，炼化灵力，成就无上仙主化身永恒。 "	"更新时间：2020-12-21 11:43:48"	"http://www.shuhai.com/book/56684.htm"
"116"	"九丹仙祖"	"火山中的鱼"	"51.8万点击"	"149.4万字"	"[玄幻, 丹药, 练功流, 升级]"	"76推荐"	"  丹田被毁，林霆意外获得远古传承混元术，从此拥有九个丹田，一路浴血厮杀，与天斗，与地斗，与人斗，踏过尸山血海，成为至强仙尊。 "	"更新时间：2020-12-21 11:45:19"	"http://www.shuhai.com/book/56747.htm"
"117"	"秦岭富酒乡"	"一棵小葱"	"187.7万点击"	"41.9万字"	"[都市, 小农民, 山村, 励志]"	"23推荐"	"  秦岭望翠坡是一座人多地薄的贫困山村，在大学生村官杨梦婷、周放云带领下，利用特有的秦岭葡萄做契机，将一个深受环境污染困扰的小山村，走上了一条绿色发展之路，实现了经济与环境共同繁荣。 "	"更新时间：2022-04-04 14:00:00"	"http://www.shuhai.com/book/57052.htm"
"118"	"吞噬星河"	"问海"	"213.7万点击"	"241.4万字"	"[都市, 强者, 回归]"	"92推荐"	"  一觉醒来，亦是百年之后。  当年的敌人，如今却早已成为神话，被世上塑像尊崇。  往昔的兵王，今朝的废物。  且看兵王李墨如何在百年后重踏当年的修仙之路，将当年的敌人一一赶尽杀绝！ "	"更新时间：2019-08-31 22:00:00"	"http://www.shuhai.com/book/47716.htm"
"119"	"东陵护宝秘档"	"月半墙"	"42.4万点击"	"143.3万字"	"[悬疑, 盗墓, 风水, 冒险, 民国]"	"50推荐"	"  1928年春，孙殿英奉命到冀东剿匪，但上级并没有拨给他一枪一弹一兵一卒，全由他自己解决军费粮饷。孙殿英为补贴军饷，决定盗取东陵。他以军事演习掩饰盗墓行动，并派人招揽各方奇能异士，而年轻时参与过东陵修建的赵石便被强迫加入了盗墓队伍。为了保护父亲，也为了阻止孙殿英将国宝变卖到国外，赵平安与同伴不得不下墓与之周旋，一场场诡异离奇的冒险就这样开始…… "	"更新时间：2023-11-07 22:41:21"	"http://www.shuhai.com/book/102566.htm"
"120"	"网游之暴力法师"		"207.3万点击"	"122.9万字"	"[网游, 游戏, 爽文]"	"805推荐"	"  在现实中挫败的我，父母抛弃，兄弟背叛，认清了现实的残酷虚伪。  在接触了游戏之后脱胎换骨，兄弟、战场无所不在，做最强法师，问鼎国服至尊！ "	"更新时间：2013-05-31 23:19:43"	"http://www.shuhai.com/book/1521.htm"
"121"	"葬神纪"	"柴犬大人"	"53.8万点击"	"89.2万字"	"[玄幻, 修仙, 爽文]"	"60推荐"	"  纵横大帝苏纵横为追求神境踏入轮转，新生为一山野少年。  本以为，这一世潜心修炼冲击神境，却不料自己曾熟知的一切都已面目全非，纵横二字成为禁忌，更有“纵横余孽”、“杀苏令”现世！  时下，百年前被自己震慑的小丑们纷纷跳梁而出，蛰伏已久的妖族卷土重来，曾缩首缩尾的邪修横行无忌，天乾大陆陷入动荡，仿佛有一只无形的大手操控着一切…  为揪出幕后黑手，这一世名为苏清流的纵横大帝强势崛起，抗妖族、击邪修、斩杀人族内鬼、诛灭妖族老祖，南征北战，重塑一方霸名。  可，就在他荡平一切强敌、扫尽一切阴谋之时，神意降临，一段更为扑朔迷离、更加艰险困难的旅途，却才刚刚展开…… "	"更新时间：2019-07-25 20:49:55"	"http://www.shuhai.com/book/46474.htm"
